DATA_DT,ARG_NO,CUST_NO,ARG_CRT_DAT,MATU_DAT,ARG_LIF_CYC_STA_CD,PTPN_AMT,NET_VAL_TOT_AMT
42869,73707710466666756,7954762290762452,42584,44410,65,61.4463365137,61.4463365137
42900,73707710466666756,7954762290762452,42584,44410,65,61.4463365137,61.4463365137
42911,73707710466666756,7954762290762452,42584,44410,65,61.4463365137,61.4463365137
42880,73707710466666756,7954762290762452,42584,44410,65,61.4463365137,61.4463365137
42931,73707710466666756,7954762290762452,42584,44410,65,61.4463365137,61.4463365137
42939,73707710466666756,7954762290762452,42584,44410,65,61.4463365137,61.4463365137
42959,73707710466666756,7954762290762452,42584,44410,65,61.4463365137,61.4463365137
42970,73707710466666756,7954762290762452,42584,44410,65,61.4463365137,61.4463365137
43000,73707710466666756,7954762290762452,42584,44410,65,61.4463365137,61.4463365137
42990,73707710466666756,7954762290762452,42584,44410,65,61.4463365137,61.4463365137
43031,73707710466666756,7954762290762452,42584,44410,65,61.4463365137,61.4463365137
43020,73707710466666756,7954762290762452,42584,44410,65,61.4463365137,61.4463365137
42869,73707719666666055,7954762290762452,41643,42737,64,34.4260124145,0.0
42880,73707719666666055,7954762290762452,41643,42737,64,34.4260124145,0.0
42900,73707719666666055,7954762290762452,41643,42737,64,34.4260124145,0.0
42911,73707719666666055,7954762290762452,41643,42737,64,34.4260124145,0.0
42939,73707719666666055,7954762290762452,41643,42737,64,34.4260124145,0.0
42931,73707719666666055,7954762290762452,41643,42737,64,34.4260124145,0.0
42970,73707719666666055,7954762290762452,41643,42737,64,34.4260124145,0.0
42959,73707719666666055,7954762290762452,41643,42737,64,34.4260124145,0.0
42990,73707719666666055,7954762290762452,41643,42737,64,34.4260124145,0.0
43020,73707719666666055,7954762290762452,41643,42737,64,34.4260124145,0.0
43000,73707719666666055,7954762290762452,41643,42737,64,34.4260124145,0.0
43031,73707719666666055,7954762290762452,41643,42737,64,34.4260124145,0.0
42869,73700310666666632,7954762290762452,42829,43924,65,49.3242414866,49.3242414866
42880,73700310666666632,7954762290762452,42829,43924,65,49.3242414866,49.3242414866
42900,73700310666666632,7954762290762452,42829,43924,65,49.3242414866,49.3242414866
42911,73700310666666632,7954762290762452,42829,43924,65,49.3242414866,49.3242414866
42931,73700310666666632,7954762290762452,42829,43924,65,49.3242414866,49.3242414866
42939,73700310666666632,7954762290762452,42829,43924,64,49.3242414866,0.0
42959,73700310666666632,7954762290762452,42829,43924,64,49.3242414866,0.0
42970,73700310666666632,7954762290762452,42829,43924,64,49.3242414866,0.0
43031,73700310666666632,7954762290762452,42829,43924,64,49.3242414866,0.0
42990,73700310666666632,7954762290762452,42829,43924,64,49.3242414866,0.0
43000,73700310666666632,7954762290762452,42829,43924,64,49.3242414866,0.0
43020,73700310666666632,7954762290762452,42829,43924,64,49.3242414866,0.0
42869,73707719766666574,7954762290762452,42371,44198,65,43.088693800600005,43.088693800600005
42900,73707719766666574,7954762290762452,42371,44198,65,43.088693800600005,43.088693800600005
42880,73707719766666574,7954762290762452,42371,44198,65,43.088693800600005,43.088693800600005
42911,73707719766666574,7954762290762452,42371,44198,65,43.088693800600005,43.088693800600005
42931,73707719766666574,7954762290762452,42371,44198,65,43.088693800600005,43.088693800600005
42939,73707719766666574,7954762290762452,42371,44198,65,43.088693800600005,43.088693800600005
42959,73707719766666574,7954762290762452,42371,44198,65,43.088693800600005,43.088693800600005
42970,73707719766666574,7954762290762452,42371,44198,65,43.088693800600005,43.088693800600005
43000,73707719766666574,7954762290762452,42371,44198,65,43.088693800600005,43.088693800600005
42990,73707719766666574,7954762290762452,42371,44198,65,43.088693800600005,43.088693800600005
43020,73707719766666574,7954762290762452,42371,44198,65,43.088693800600005,43.088693800600005
43031,73707719766666574,7954762290762452,42371,44198,65,43.088693800600005,43.088693800600005
42900,73707719566666553,7954762290762452,42463,44290,65,42.0588743492,42.0588743492
42880,73707719566666553,7954762290762452,42463,44290,65,42.0588743492,42.0588743492
42869,73707719566666553,7954762290762452,42463,44290,65,42.0588743492,42.0588743492
42911,73707719566666553,7954762290762452,42463,44290,65,42.0588743492,42.0588743492
42959,73707719566666553,7954762290762452,42463,44290,65,42.0588743492,42.0588743492
42931,73707719566666553,7954762290762452,42463,44290,65,42.0588743492,42.0588743492
42990,73707719566666553,7954762290762452,42463,44290,65,42.0588743492,42.0588743492
42939,73707719566666553,7954762290762452,42463,44290,65,42.0588743492,42.0588743492
42970,73707719566666553,7954762290762452,42463,44290,65,42.0588743492,42.0588743492
43000,73707719566666553,7954762290762452,42463,44290,65,42.0588743492,42.0588743492
43020,73707719566666553,7954762290762452,42463,44290,65,42.0588743492,42.0588743492
43031,73707719566666553,7954762290762452,42463,44290,65,42.0588743492,42.0588743492
42880,73707719966666529,7954762290762452,42737,43832,65,43.088693800600005,43.088693800600005
42911,73707719966666529,7954762290762452,42737,43832,65,43.088693800600005,43.088693800600005
42869,73707719966666529,7954762290762452,42737,43832,65,43.088693800600005,43.088693800600005
42900,73707719966666529,7954762290762452,42737,43832,65,43.088693800600005,43.088693800600005
42931,73707719966666529,7954762290762452,42737,43832,65,43.088693800600005,43.088693800600005
42939,73707719966666529,7954762290762452,42737,43832,65,43.088693800600005,43.088693800600005
42990,73707719966666529,7954762290762452,42737,43832,65,43.088693800600005,43.088693800600005
42970,73707719966666529,7954762290762452,42737,43832,65,43.088693800600005,43.088693800600005
42959,73707719966666529,7954762290762452,42737,43832,65,43.088693800600005,43.088693800600005
43000,73707719966666529,7954762290762452,42737,43832,65,43.088693800600005,43.088693800600005
43031,73707719966666529,7954762290762452,42737,43832,65,43.088693800600005,43.088693800600005
