DATA_DAT,CUST_NO,CUST_CYC_CR_IND,CUST_CD_VLU
42970,7955371022653289,1,1
43000,7955371022653289,1,1
43031,7955371022653289,1,1
42911,7955371022653289,1,0
42939,7955371022653289,1,1
42880,7955371022653289,1,1
43123,7973763710479399,0,0
43245,7973763710479399,0,0
43184,7973763710479399,0,0
43214,7973763710479399,0,0
43153,7973763710479399,0,0
43276,7973763710479399,0,1
43092,7950764521117988,0,0
43000,7950764521117988,0,0
43031,7950764521117988,0,0
43123,7950764521117988,0,0
42970,7950764521117988,0,0
43061,7950764521117988,0,0
42911,7954762290762452,0,1
42970,7954762290762452,0,1
43000,7954762290762452,0,0
43031,7954762290762452,0,0
42880,7954762290762452,0,1
42939,7954762290762452,0,0
43153,7937666664107909,0,0
43184,7937666664107909,0,0
43092,7937666664107909,0,0
43061,7937666664107909,0,0
43123,7937666664107909,0,0
43214,7937666664107909,0,0
43123,7953362271113998,0,0
43245,7953362271113998,0,1
43153,7953362271113998,0,0
43184,7953362271113998,0,0
43214,7953362271113998,0,1
43276,7953362271113998,0,0
43092,7950666667357602,0,1
43123,7950666667357602,0,0
43061,7950666667357602,0,0
43153,7950666667357602,0,0
43000,7950666667357602,0,0
43031,7950666667357602,0,0
42970,7990765340573549,0,0
42911,7990765340573549,0,0
43000,7990765340573549,0,0
43031,7990765340573549,0,1
42939,7990765340573549,0,0
42880,7990765340573549,0,0
43092,7913365626731962,0,1
43123,7913365626731962,0,1
43061,7913365626731962,0,1
43153,7913365626731962,0,1
43184,7913365626731962,0,1
43031,7913365626731962,0,1
42970,7905764622164038,0,0
42911,7905764622164038,0,1
42849,7905764622164038,0,1
43000,7905764622164038,0,0
42939,7905764622164038,0,0
42880,7905764622164038,0,1
43092,7991366703704419,0,0
43123,7991366703704419,0,1
43153,7991366703704419,0,1
43000,7991366703704419,0,1
43031,7991366703704419,0,1
43061,7991366703704419,0,0
43123,7907764558744318,0,1
43153,7907764558744318,0,0
43184,7907764558744318,0,1
43092,7907764558744318,0,0
43214,7907764558744318,1,1
43061,7907764558744318,0,1
43092,7911363743230772,0,0
43123,7911363743230772,0,1
43031,7911363743230772,0,1
43000,7911363743230772,0,1
43153,7911363743230772,0,1
43061,7911363743230772,0,1
42970,7950307104009079,0,1
43000,7950307104009079,0,1
42849,7950307104009079,0,1
42939,7950307104009079,0,1
42911,7950307104009079,0,1
42880,7950307104009079,0,1
43123,7954068021842792,0,0
43245,7954068021842792,0,0
43153,7954068021842792,0,0
43184,7954068021842792,0,0
43214,7954068021842792,0,1
43276,7954068021842792,0,1
43031,7910361616845952,0,0
42970,7910361616845952,0,0
43000,7910361616845952,0,1
42911,7910361616845952,0,0
42880,7910361616845952,0,1
42939,7910361616845952,0,1
43092,7993369207059902,0,0
43061,7993369207059902,0,0
43123,7993369207059902,0,0
43184,7993369207059902,0,0
43153,7993369207059902,0,0
43214,7993369207059902,0,0
43123,7915777177374952,0,0
43092,7915777177374952,0,0
43061,7915777177374952,0,1
43153,7915777177374952,0,0
43184,7915777177374952,0,1
43031,7915777177374952,0,0
42970,7954366666382988,0,1
43092,7954366666382988,0,1
43061,7954366666382988,0,1
43000,7954366666382988,0,1
43031,7954366666382988,0,1
42939,7954366666382988,0,1
42849,7953761918296218,0,1
42970,7953761918296218,0,1
42911,7953761918296218,0,1
43000,7953761918296218,0,1
42880,7953761918296218,0,1
42939,7953761918296218,0,1
43092,7915779655859128,0,0
43061,7915779655859128,0,0
43123,7915779655859128,0,0
43031,7915779655859128,0,0
43153,7915779655859128,0,0
43184,7915779655859128,0,0
43123,7917306120072848,0,1
43092,7917306120072848,0,0
43061,7917306120072848,0,0
43184,7917306120072848,0,0
43153,7917306120072848,0,1
43031,7917306120072848,0,0
43123,7950376853321258,0,0
43214,7950376853321258,0,0
43153,7950376853321258,0,0
43245,7950376853321258,0,0
43184,7950376853321258,0,0
43276,7950376853321258,0,0
43092,7973363645621832,0,1
43061,7973363645621832,0,1
43123,7973363645621832,0,1
43184,7973363645621832,0,1
43153,7973363645621832,0,0
43214,7973363645621832,0,1
42970,7907761476384192,0,0
43031,7907761476384192,0,0
43000,7907761476384192,0,1
42911,7907761476384192,0,1
42880,7907761476384192,0,0
42939,7907761476384192,0,1
43092,7971373091514118,0,1
43123,7971373091514118,0,1
43153,7971373091514118,0,1
43061,7971373091514118,0,1
43184,7971373091514118,0,1
43031,7971373091514118,0,0
43031,7953762970345969,0,0
42970,7953762970345969,0,1
42911,7953762970345969,0,1
43000,7953762970345969,0,1
42880,7953762970345969,0,1
42939,7953762970345969,0,1
43092,7959367704207318,0,0
42970,7959367704207318,0,1
43061,7959367704207318,0,0
43031,7959367704207318,0,1
43000,7959367704207318,0,1
42939,7959367704207318,0,1
43092,7976366703767392,0,1
43245,7976366703767392,0,0
43123,7976366703767392,0,1
43184,7976366703767392,0,0
43153,7976366703767392,0,0
43214,7976366703767392,0,1
43092,7953765420613519,0,0
43123,7953765420613519,0,0
43031,7953765420613519,0,0
42970,7953765420613519,0,0
43061,7953765420613519,0,0
43000,7953765420613519,0,0
43092,7951366660716542,0,1
43123,7951366660716542,0,1
43061,7951366660716542,0,1
43184,7951366660716542,0,1
43153,7951366660716542,0,1
43031,7951366660716542,0,1
43092,7915367282312422,0,0
43123,7915367282312422,0,0
43245,7915367282312422,0,0
43184,7915367282312422,0,0
43153,7915367282312422,0,0
43214,7915367282312422,0,0
43092,7937371005526812,0,0
43123,7937371005526812,0,0
43061,7937371005526812,0,0
43153,7937371005526812,0,0
43184,7937371005526812,0,0
43214,7937371005526812,0,0
42970,7915366666189039,0,0
