DATA_DAT,PROV_CD,ORG_NO,CUST_NO,ARG_CRT_DAT,CLS_ACCT_DAT,MATU_DAT,REG_CAP,EXEC_RATE,CRBAL,MOTH_CR_ACCM,MTH_ACT_DAYS_TOT
42970,73,737077,7954762290762452,42961,42961,43053,15629.24,2.21041889918,0.0,0.0,31
43031,73,737077,7954762290762452,42961,42961,43053,15629.24,2.21041889918,0.0,0.0,31
43000,73,737077,7954762290762452,42961,42961,43053,15629.24,2.21041889918,0.0,0.0,30
43092,76,761028,7950666667357602,42413,147,43144,7000.0,2.4986659549200003,7140.0,221340.0,31
43123,76,761028,7950666667357602,42413,147,43144,7000.0,2.4986659549200003,7140.0,221340.0,31
43031,76,761028,7950666667357602,42413,147,43144,7000.0,2.4986659549200003,7140.0,221340.0,31
43123,76,761049,7950666667357602,42971,43050,43154,30000.0,2.3822768503900003,0.0,0.0,31
43092,76,761049,7950666667357602,42976,147,44072,6000.0,2.80203933066,6000.0,186000.0,31
43123,76,761049,7950666667357602,42976,147,44072,6000.0,2.80203933066,6000.0,186000.0,31
43092,76,761049,7950666667357602,42971,43050,43154,30000.0,2.3822768503900003,0.0,0.0,31
43061,76,761028,7950666667357602,42413,147,43144,7000.0,2.4986659549200003,7140.0,214200.0,30
43000,76,761028,7950666667357602,42413,147,43144,7000.0,2.4986659549200003,7140.0,214200.0,30
43153,76,761028,7950666667357602,42413,147,43509,7000.0,2.4986659549200003,7279.23,215592.3,30
43153,76,761049,7950666667357602,42971,43050,43154,30000.0,2.3822768503900003,0.0,0.0,30
43031,76,761049,7950666667357602,42971,147,43154,30000.0,2.3822768503900003,30000.0,930000.0,31
43153,76,761049,7950666667357602,42976,147,44072,6000.0,2.80203933066,6000.0,180000.0,30
43031,76,761049,7950666667357602,42976,147,44072,6000.0,2.80203933066,6000.0,186000.0,31
43061,76,761049,7950666667357602,42971,43050,43154,30000.0,2.3822768503900003,0.0,540000.0,30
43000,76,761049,7950666667357602,42976,147,44072,6000.0,2.80203933066,6000.0,150000.0,30
43000,76,761049,7950666667357602,42971,147,43154,30000.0,2.3822768503900003,30000.0,900000.0,30
43061,76,761049,7950666667357602,42976,147,44072,6000.0,2.80203933066,6000.0,180000.0,30
43123,6,61337,7913365626731962,43075,43092,43167,65000.0,2.2532463426700002,0.0,0.0,31
43092,6,61337,7913365626731962,43075,43092,43167,65000.0,2.2532463426700002,0.0,1055000.0,31
43153,6,61337,7913365626731962,43075,43092,43167,65000.0,2.2532463426700002,0.0,0.0,30
43184,6,61337,7913365626731962,43075,43092,43167,65000.0,2.2532463426700002,0.0,0.0,31
43092,8,80626,7991366703704419,42970,42971,43061,186000.0,2.21041889918,0.0,0.0,31
43123,8,80626,7991366703704419,42970,42971,43061,186000.0,2.21041889918,0.0,0.0,31
43123,8,80626,7991366703704419,42970,42971,43061,180000.0,2.21041889918,0.0,0.0,31
43092,8,80626,7991366703704419,42970,42971,43061,180000.0,2.21041889918,0.0,0.0,31
43061,8,80626,7991366703704419,42970,42971,43061,186000.0,2.21041889918,0.0,0.0,30
43061,8,80626,7991366703704419,42970,42971,43061,180000.0,2.21041889918,0.0,0.0,30
43000,8,80626,7991366703704419,42970,42971,43061,186000.0,2.21041889918,0.0,0.0,30
43031,8,80626,7991366703704419,42970,42971,43061,180000.0,2.21041889918,0.0,0.0,31
43153,8,80626,7991366703704419,42970,42971,43061,180000.0,2.21041889918,0.0,0.0,30
43153,8,80626,7991366703704419,42970,42971,43061,186000.0,2.21041889918,0.0,0.0,30
43000,8,80626,7991366703704419,42970,42971,43061,180000.0,2.21041889918,0.0,0.0,30
43031,8,80626,7991366703704419,42970,42971,43061,186000.0,2.21041889918,0.0,0.0,31
43092,11,117870,7911363743230772,43009,43010,-287716,681030.13,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43012,43013,-287716,173575.22,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,42999,43000,-287716,673870.21,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43009,43010,-287716,681030.13,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,42999,43000,-287716,673870.21,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43012,43013,-287716,173575.22,1.6386425412,0.0,0.0,31
43061,11,117870,7911363743230772,43009,43010,-287716,681030.13,1.6386425412,0.0,0.0,30
43092,11,117870,7911363743230772,42995,42996,-287716,1153777.43,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43014,43015,-287716,173582.94,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43015,43016,-287716,173586.8,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43002,43003,-287716,673915.14,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43019,43020,-287716,175520.1,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43006,43007,-287716,673973.06,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43016,43017,-287716,174549.56,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,42998,42999,-287716,673855.24,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43007,43008,-287716,673000.04,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43014,43015,-287716,173582.94,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43004,43005,-287716,673945.1,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43006,43007,-287716,673973.06,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43016,43017,-287716,174549.56,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43005,43006,-287716,673958.08,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43020,43021,-287716,175524.0,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43018,43019,-287716,174557.32,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,42997,42998,-287716,1173829.15,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43017,43018,-287716,174553.44,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43000,43001,-287716,673885.18,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43022,43023,-287716,170531.8,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43008,43009,-287716,681015.0,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43005,43006,-287716,673958.08,1.6386425412,0.0,0.0,31
43031,11,117870,7911363743230772,43002,43003,-287716,673915.14,1.6386425412,0.0,673915.14,31
43031,11,117870,7911363743230772,43019,43020,-287716,175520.1,1.6386425412,0.0,175520.1,31
43031,11,117870,7911363743230772,43015,43016,-287716,173586.8,1.6386425412,0.0,173586.8,31
43092,11,117870,7911363743230772,43019,43020,-287716,175520.1,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43023,43024,-287716,170535.59,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43001,43002,-287716,673900.16,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43025,43026,-287716,170543.17,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43027,43028,-287716,170550.75,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43020,43021,-287716,175524.0,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43018,43019,-287716,174557.32,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,42997,42998,-287716,1173829.15,1.6386425412,0.0,0.0,31
43153,11,117870,7911363743230772,43019,43020,-287716,175520.1,1.6386425412,0.0,0.0,30
43153,11,117870,7911363743230772,43002,43003,-287716,673915.14,1.6386425412,0.0,0.0,30
43153,11,117870,7911363743230772,43015,43016,-287716,173586.8,1.6386425412,0.0,0.0,30
43092,11,117870,7911363743230772,43026,43027,-287716,170546.96,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43024,43025,-287716,170539.38,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43000,43001,-287716,673885.18,1.6386425412,0.0,0.0,31
